StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;"Jan module";Outdoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity
1515474158;"2018/01/09 06:02:38";22.2;48
1515474466;"2018/01/09 06:07:46";22.2;48
1515474774;"2018/01/09 06:12:54";22.2;48
1515475080;"2018/01/09 06:18:00";22.2;48
1515475388;"2018/01/09 06:23:08";22.2;48
1515475644;"2018/01/09 06:27:24";22.2;48
1515475952;"2018/01/09 06:32:32";22.2;48
1515476260;"2018/01/09 06:37:40";22.2;49
1515476567;"2018/01/09 06:42:47";22.3;58
1515476876;"2018/01/09 06:47:56";22.4;68
1515477183;"2018/01/09 06:53:03";22.7;76
1515477491;"2018/01/09 06:58:11";22.9;74
1515477799;"2018/01/09 07:03:19";23;71
1515478106;"2018/01/09 07:08:26";23.1;70
1515478363;"2018/01/09 07:12:43";23.1;62
1515478670;"2018/01/09 07:17:50";22.9;56
1515478978;"2018/01/09 07:22:58";22.8;62
1515479285;"2018/01/09 07:28:05";22.8;62
1515479592;"2018/01/09 07:33:12";22.7;62
1515479901;"2018/01/09 07:38:21";22.9;73
1515480208;"2018/01/09 07:43:28";22.9;73
1515480516;"2018/01/09 07:48:36";22.9;71
1515480824;"2018/01/09 07:53:44";22.9;70
1515481080;"2018/01/09 07:58:00";22.9;68
1515481388;"2018/01/09 08:03:08";22.8;67
1515481694;"2018/01/09 08:08:14";22.8;65
1515482002;"2018/01/09 08:13:22";22.7;64
1515482309;"2018/01/09 08:18:29";22.6;62
1515482617;"2018/01/09 08:23:37";22.6;61
1515482926;"2018/01/09 08:28:46";22.5;60
1515483233;"2018/01/09 08:33:53";22.5;59
1515483541;"2018/01/09 08:39:01";22.4;59
1515483797;"2018/01/09 08:43:17";22.4;58
1515484105;"2018/01/09 08:48:25";22.3;57
1515484413;"2018/01/09 08:53:33";22.3;57
1515484719;"2018/01/09 08:58:39";22.3;56
1515485027;"2018/01/09 09:03:47";22.2;55
1515485335;"2018/01/09 09:08:55";22.2;55
1515485643;"2018/01/09 09:14:03";22.2;55
1515485951;"2018/01/09 09:19:11";22.1;54
1515486207;"2018/01/09 09:23:27";22.1;54
1515486515;"2018/01/09 09:28:35";22.1;54
1515486822;"2018/01/09 09:33:42";22.1;54
1515487130;"2018/01/09 09:38:50";22;54
1515487437;"2018/01/09 09:43:57";22;53
1515487744;"2018/01/09 09:49:04";22;53
1515488052;"2018/01/09 09:54:12";22;53
