StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;Station;Indoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity;CO2;Noise;Pressure
1515474187;"2018/01/09 06:03:07";22;51;1109;35;1028.8
1515474489;"2018/01/09 06:08:09";22;51;1093;35;1028.6
1515474791;"2018/01/09 06:13:11";22;51;1092;35;1028.5
1515475091;"2018/01/09 06:18:11";22;51;1089;35;1028.5
1515475392;"2018/01/09 06:23:12";22;51;1079;35;1028.4
1515475694;"2018/01/09 06:28:14";22;51;1071;35;1028.3
1515475996;"2018/01/09 06:33:16";22;51;1061;36;1028.2
1515476297;"2018/01/09 06:38:17";22;52;1165;51;1028.2
1515476599;"2018/01/09 06:43:19";22.1;58;1356;54;1028.2
1515476903;"2018/01/09 06:48:23";22.2;64;1574;52;1028.1
1515477204;"2018/01/09 06:53:24";22.5;70;1873;60;1028
1515477506;"2018/01/09 06:58:26";22.8;69;1953;62;1027.9
1515477807;"2018/01/09 07:03:27";22.9;68;1858;61;1027.8
1515478109;"2018/01/09 07:08:29";23;69;1744;64;1027.7
1515478411;"2018/01/09 07:13:31";22.9;63;1484;55;1027.6
1515478713;"2018/01/09 07:18:33";22.7;61;1278;52;1027.5
1515479015;"2018/01/09 07:23:35";22.6;64;1281;55;1027.4
1515479316;"2018/01/09 07:28:36";22.6;63;1193;53;1027.4
1515479617;"2018/01/09 07:33:37";22.5;66;1191;54;1027.3
1515479920;"2018/01/09 07:38:40";22.6;71;1378;52;1027.2
1515480221;"2018/01/09 07:43:41";22.7;71;1416;53;1027.1
1515480523;"2018/01/09 07:48:43";22.7;71;1393;51;1027
1515480824;"2018/01/09 07:53:44";22.7;70;1278;51;1026.9
1515481126;"2018/01/09 07:58:46";22.6;68;1178;53;1026.9
1515481428;"2018/01/09 08:03:48";22.6;68;1244;53;1027
1515481729;"2018/01/09 08:08:49";22.5;67;1177;51;1026.9
1515482031;"2018/01/09 08:13:51";22.4;66;1112;51;1026.9
1515482332;"2018/01/09 08:18:52";22.4;65;1036;51;1026.9
1515482634;"2018/01/09 08:23:54";22.3;64;1000;51;1027
1515482937;"2018/01/09 08:28:57";22.2;63;953;51;1027.1
1515483239;"2018/01/09 08:33:59";22.2;62;924;51;1027
1515483541;"2018/01/09 08:39:01";22.1;61;965;51;1027
1515483843;"2018/01/09 08:44:03";22.1;61;1106;52;1026.9
1515484143;"2018/01/09 08:49:03";22.2;60;1051;51;1027
1515484444;"2018/01/09 08:54:04";22.1;60;983;51;1027
1515484744;"2018/01/09 08:59:04";22.1;59;945;51;1026.9
1515485046;"2018/01/09 09:04:06";22;59;908;51;1026.8
1515485348;"2018/01/09 09:09:08";22;58;880;51;1026.8
1515485650;"2018/01/09 09:14:10";22;58;882;51;1026.7
1515485952;"2018/01/09 09:19:12";21.9;58;885;51;1026.6
1515486254;"2018/01/09 09:24:14";21.9;58;889;51;1026.4
1515486555;"2018/01/09 09:29:15";21.9;57;893;51;1026.4
1515486856;"2018/01/09 09:34:16";21.8;57;885;51;1026.3
1515487158;"2018/01/09 09:39:18";21.8;57;885;51;1026.4
1515487459;"2018/01/09 09:44:19";21.8;56;865;51;1026.3
1515487759;"2018/01/09 09:49:19";21.8;56;853;51;1026.2
1515488061;"2018/01/09 09:54:21";21.8;56;851;51;1026.1
