StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;Station;Indoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity;CO2;Noise;Pressure
1515559668;"2018/01/10 05:47:48";17.6;64;996;37;1012.5
1515559673;"2018/01/10 05:47:53";17.6;64;;;1012.5
1515559972;"2018/01/10 05:52:52";18.4;63;929;35;1012.5
1515560275;"2018/01/10 05:57:55";19;62;907;35;1012.4
1515560575;"2018/01/10 06:02:55";19.5;61;903;35;1012.5
1515560876;"2018/01/10 06:07:56";19.9;60;890;36;1012.3
1515561178;"2018/01/10 06:12:58";20.1;60;894;35;1012.3
1515561480;"2018/01/10 06:18:00";20.3;59;887;35;1012.3
1515561780;"2018/01/10 06:23:00";20.5;59;885;36;1012.3
1515562083;"2018/01/10 06:28:03";20.6;59;872;35;1012.2
1515562384;"2018/01/10 06:33:04";20.7;58;884;35;1012.3
1515562685;"2018/01/10 06:38:05";20.7;58;883;36;1012.2
1515562984;"2018/01/10 06:43:04";20.8;58;887;35;1012.3
1515563285;"2018/01/10 06:48:05";20.8;58;895;35;1012.2
1515563586;"2018/01/10 06:53:06";20.8;57;887;36;1012.2
1515563889;"2018/01/10 06:58:09";20.8;57;901;36;1012.2
1515564189;"2018/01/10 07:03:09";20.9;57;880;35;1012.1
1515564491;"2018/01/10 07:08:11";20.9;57;892;36;1012.1
1515564793;"2018/01/10 07:13:13";20.9;57;900;43;1012
1515565094;"2018/01/10 07:18:14";20.9;58;945;51;1011.9
1515565396;"2018/01/10 07:23:16";21;58;970;50;1012
1515565667;"2018/01/10 07:27:47";21;60;1001;50;1012
1515565971;"2018/01/10 07:32:51";21.1;67;1324;55;1011.9
1515566272;"2018/01/10 07:37:52";21.3;68;1534;54;1011.9
1515566573;"2018/01/10 07:42:53";21.4;69;1554;54;1011.9
1515566874;"2018/01/10 07:47:54";21.4;69;1505;54;1011.9
1515567175;"2018/01/10 07:52:55";21.3;69;1409;54;1012
1515567477;"2018/01/10 07:57:57";21.3;69;1335;54;1012
1515567778;"2018/01/10 08:02:58";21.3;69;1258;54;1012.1
1515568079;"2018/01/10 08:07:59";21.2;69;1177;54;1012
1515568380;"2018/01/10 08:13:00";21.2;68;1136;54;1012.1
1515568681;"2018/01/10 08:18:01";21.2;68;1084;54;1012.2
1515568982;"2018/01/10 08:23:02";21.1;68;1050;55;1012.1
1515569283;"2018/01/10 08:28:03";21.1;68;1017;55;1012
1515569585;"2018/01/10 08:33:05";21.1;68;1016;54;1012.1
1515569887;"2018/01/10 08:38:07";21.1;68;987;54;1012.1
1515570188;"2018/01/10 08:43:08";21.1;68;977;54;1012.1
1515570488;"2018/01/10 08:48:08";21.1;68;973;54;1012
1515570790;"2018/01/10 08:53:10";21.1;68;943;54;1012
1515571091;"2018/01/10 08:58:11";21.1;68;943;54;1012.1
1515571392;"2018/01/10 09:03:12";21.1;68;933;54;1012.1
1515571693;"2018/01/10 09:08:13";21.1;68;937;54;1012.2
1515571994;"2018/01/10 09:13:14";21.1;68;932;54;1012.3
1515572295;"2018/01/10 09:18:15";21.2;67;932;54;1012.3
1515572597;"2018/01/10 09:23:17";21.2;67;917;54;1012.4
1515572898;"2018/01/10 09:28:18";21.2;67;901;54;1012.3
1515573199;"2018/01/10 09:33:19";21.2;67;902;54;1012.4
1515573501;"2018/01/10 09:38:21";21.2;67;896;54;1012.3
1515573802;"2018/01/10 09:43:22";21.2;67;902;54;1012.2
1515574103;"2018/01/10 09:48:23";21.2;66;895;54;1012.4
1515574405;"2018/01/10 09:53:25";21.2;66;884;54;1012.4
1515574707;"2018/01/10 09:58:27";21.2;66;885;54;1012.4
1515575008;"2018/01/10 10:03:28";21.2;66;873;54;1012.4
