StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;Station;Indoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity;CO2;Noise;Pressure
1515622915;"2018/01/10 23:21:55";8.8;84;538;37;1013.4
1515623219;"2018/01/10 23:26:59";12.4;77;562;37;1013.2
1515623522;"2018/01/10 23:32:02";14.2;73;646;35;1013.1
1515623534;"2018/01/10 23:32:14";14.2;72;;35;1013
1515623837;"2018/01/10 23:37:17";15.3;69;663;35;1013.1
1515624138;"2018/01/10 23:42:18";16;67;676;35;1013.1
1515624439;"2018/01/10 23:47:19";16.5;65;675;35;1013.1
1515624742;"2018/01/10 23:52:22";16.8;63;677;35;1013.1
1515625043;"2018/01/10 23:57:23";17.1;62;672;35;1013.1
1515625344;"2018/01/11 00:02:24";17.2;61;676;35;1013.2
1515625646;"2018/01/11 00:07:26";17.3;60;661;35;1013.2
1515625947;"2018/01/11 00:12:27";17.4;59;651;35;1013.2
1515626248;"2018/01/11 00:17:28";17.4;59;665;35;1013.2
1515626549;"2018/01/11 00:22:29";17.4;58;656;35;1013.2
1515626850;"2018/01/11 00:27:30";17.4;58;645;35;1013.2
1515627152;"2018/01/11 00:32:32";17.4;57;645;35;1013.3
1515627454;"2018/01/11 00:37:34";17.4;57;646;35;1013.3
1515627755;"2018/01/11 00:42:35";17.3;56;646;35;1013.2
1515628056;"2018/01/11 00:47:36";17.3;56;637;35;1013.2
1515628358;"2018/01/11 00:52:38";17.3;56;648;35;1013.2
1515628659;"2018/01/11 00:57:39";17.2;56;636;35;1013.2
1515628960;"2018/01/11 01:02:40";17.2;55;625;35;1013.3
1515629262;"2018/01/11 01:07:42";17.1;55;636;35;1013.4
1515629563;"2018/01/11 01:12:43";17.1;55;630;35;1013.4
1515629865;"2018/01/11 01:17:45";17.1;55;625;35;1013.5
1515630166;"2018/01/11 01:22:46";17;55;631;35;1013.5
1515630467;"2018/01/11 01:27:47";17;55;614;35;1013.5
1515630768;"2018/01/11 01:32:48";16.9;54;619;35;1013.5
1515631069;"2018/01/11 01:37:49";16.9;54;623;35;1013.5
1515631370;"2018/01/11 01:42:50";16.9;54;621;35;1013.6
1515631671;"2018/01/11 01:47:51";16.8;54;617;35;1013.6
1515631972;"2018/01/11 01:52:52";16.8;54;615;35;1013.6
1515632273;"2018/01/11 01:57:53";16.8;54;610;35;1013.6
1515632574;"2018/01/11 02:02:54";16.7;54;611;35;1013.6
1515632875;"2018/01/11 02:07:55";16.7;54;605;35;1013.7
1515633175;"2018/01/11 02:12:55";16.7;54;617;35;1013.7
1515633475;"2018/01/11 02:17:55";16.6;54;613;35;1013.8
1515633777;"2018/01/11 02:22:57";16.6;54;614;35;1013.9
