StationName;Long;Lat;ModuleName;ModuleType
Jan2;12.500643;55.666653;;Indoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity;CO2;Noise;Pressure
1515861180;"2018/01/13 17:33:00";20.3;54;;;1033.6
1515861201;"2018/01/13 17:33:21";20.3;54;331;59;1033.6
1515861500;"2018/01/13 17:38:20";20.2;49;87;56;1033.6
1515861805;"2018/01/13 17:43:25";19.8;49;122;53;1033.6
1515862109;"2018/01/13 17:48:29";19.5;50;145;63;1033.8
1515862413;"2018/01/13 17:53:33";19.4;50;156;63;1033.8
1515862717;"2018/01/13 17:58:37";19.3;50;193;67;1033.8
1515863021;"2018/01/13 18:03:41";19.3;51;217;62;1033.7
1515863325;"2018/01/13 18:08:45";19.3;51;253;58;1033.7
1515863629;"2018/01/13 18:13:49";19.3;51;269;56;1033.8
1515863933;"2018/01/13 18:18:53";19.2;51;286;52;1033.7
1515864234;"2018/01/13 18:23:54";19.2;51;315;50;1033.7
1515864537;"2018/01/13 18:28:57";19.2;51;324;51;1033.7
1515864841;"2018/01/13 18:34:01";19.1;52;349;52;1033.7
1515865145;"2018/01/13 18:39:05";19.1;52;365;54;1033.7
1515865449;"2018/01/13 18:44:09";19.1;52;360;56;1033.7
1515865753;"2018/01/13 18:49:13";19;52;407;62;1033.7
1515866057;"2018/01/13 18:54:17";19;52;388;57;1033.6
1515866361;"2018/01/13 18:59:21";19;52;387;58;1033.5
1515866664;"2018/01/13 19:04:24";19;52;398;59;1033.6
1515866968;"2018/01/13 19:09:28";19;53;398;60;1033.6
1515867271;"2018/01/13 19:14:31";19;53;411;59;1033.7
1515867576;"2018/01/13 19:19:36";19;53;395;57;1033.8
1515867880;"2018/01/13 19:24:40";19;53;405;45;1033.8
1515868183;"2018/01/13 19:29:43";19;53;397;48;1033.8
1515868487;"2018/01/13 19:34:47";19;53;394;48;1033.8
1515868789;"2018/01/13 19:39:49";19;53;410;56;1033.7
1515869093;"2018/01/13 19:44:53";18.9;52;393;51;1033.6
1515869398;"2018/01/13 19:49:58";18.8;51;361;51;1033.6
1515869702;"2018/01/13 19:55:02";18.9;51;359;48;1033.5
1515870004;"2018/01/13 20:00:04";19;51;387;54;1033.5
1515870308;"2018/01/13 20:05:08";19.1;51;411;59;1033.5
1515870612;"2018/01/13 20:10:12";19.2;51;437;54;1033.4
1515870915;"2018/01/13 20:15:15";19.2;51;439;58;1033.4
1515871219;"2018/01/13 20:20:19";19.3;51;453;49;1033.5
1515871522;"2018/01/13 20:25:22";19.3;51;446;48;1033.4
1515871826;"2018/01/13 20:30:26";19.3;51;441;51;1033.3
1515872129;"2018/01/13 20:35:29";19.3;51;446;46;1033.3
1515872434;"2018/01/13 20:40:34";19.3;51;441;48;1033.3
1515872738;"2018/01/13 20:45:38";19.3;51;427;46;1033.3
1515873041;"2018/01/13 20:50:41";19.3;51;422;49;1033.3
1515873344;"2018/01/13 20:55:44";19.3;51;414;56;1033.3
1515873644;"2018/01/13 21:00:44";19.3;51;416;57;1033.3
1515873948;"2018/01/13 21:05:48";19.3;51;399;58;1033.3
1515874253;"2018/01/13 21:10:53";19.3;51;400;59;1033.3
1515874556;"2018/01/13 21:15:56";19.2;51;402;58;1033.2
1515874856;"2018/01/13 21:20:56";19.2;51;398;59;1033.2
1515875159;"2018/01/13 21:25:59";19.1;52;398;59;1033.2
1515875463;"2018/01/13 21:31:03";19.1;52;399;60;1033.1
1515875766;"2018/01/13 21:36:06";19.1;52;413;56;1033.1
1515876070;"2018/01/13 21:41:10";19.1;52;420;42;1033
1515876374;"2018/01/13 21:46:14";19.2;52;399;43;1033
1515876677;"2018/01/13 21:51:17";19.2;52;412;46;1033
1515876981;"2018/01/13 21:56:21";19.3;52;394;36;1033
1515877284;"2018/01/13 22:01:24";19.3;51;393;35;1032.9
1515877589;"2018/01/13 22:06:29";19.3;51;396;35;1032.9
1515877892;"2018/01/13 22:11:32";19.3;52;391;36;1033
1515878196;"2018/01/13 22:16:36";19.3;51;382;35;1032.9
1515878500;"2018/01/13 22:21:40";19.3;51;380;38;1033
1515878804;"2018/01/13 22:26:44";19.2;51;399;39;1033
1515879103;"2018/01/13 22:31:43";19.2;51;402;37;1032.9
1515879407;"2018/01/13 22:36:47";19.2;51;400;38;1033
1515879708;"2018/01/13 22:41:48";19.1;51;391;38;1033
1515880012;"2018/01/13 22:46:52";19.1;51;401;38;1033
1515880315;"2018/01/13 22:51:55";19.1;51;395;38;1033
1515880619;"2018/01/13 22:56:59";19.1;52;396;36;1033
1515880918;"2018/01/13 23:01:58";19.1;51;398;38;1033
1515881221;"2018/01/13 23:07:01";19.1;51;397;37;1033.1
1515881526;"2018/01/13 23:12:06";19.1;52;392;37;1033
1515881830;"2018/01/13 23:17:10";19;52;389;38;1033
1515882130;"2018/01/13 23:22:10";19;52;404;35;1033
1515882434;"2018/01/13 23:27:14";18.9;52;390;35;1033
1515882738;"2018/01/13 23:32:18";18.9;51;389;35;1032.9
1515883042;"2018/01/13 23:37:22";18.8;52;393;35;1032.9
1515883342;"2018/01/13 23:42:22";18.8;52;391;35;1032.9
1515883646;"2018/01/13 23:47:26";18.7;52;383;35;1032.9
1515883950;"2018/01/13 23:52:30";18.6;52;395;35;1032.8
1515884253;"2018/01/13 23:57:33";18.6;52;400;35;1032.7
1515884557;"2018/01/14 00:02:37";18.6;52;398;35;1032.7
1515884860;"2018/01/14 00:07:40";18.5;52;398;35;1032.7
1515885164;"2018/01/14 00:12:44";18.5;52;401;35;1032.7
1515885467;"2018/01/14 00:17:47";18.5;52;395;35;1032.7
1515885770;"2018/01/14 00:22:50";18.5;52;393;35;1032.6
1515886074;"2018/01/14 00:27:54";18.5;52;394;35;1032.6
1515886378;"2018/01/14 00:32:58";18.6;52;388;35;1032.5
1515886681;"2018/01/14 00:38:01";18.6;52;396;35;1032.5
1515886985;"2018/01/14 00:43:05";18.6;52;399;35;1032.5
1515887289;"2018/01/14 00:48:09";18.6;52;400;35;1032.4
1515887592;"2018/01/14 00:53:12";18.7;52;399;35;1032.4
1515887895;"2018/01/14 00:58:15";18.7;52;391;35;1032.4
1515888200;"2018/01/14 01:03:20";18.6;52;392;35;1032.3
1515888504;"2018/01/14 01:08:24";18.6;52;392;35;1032.2
1515888807;"2018/01/14 01:13:27";18.5;52;411;35;1032.3
1515889111;"2018/01/14 01:18:31";18.5;52;390;35;1032.3
1515889415;"2018/01/14 01:23:35";18.4;52;390;35;1032.3
1515889718;"2018/01/14 01:28:38";18.3;52;391;35;1032.4
1515890022;"2018/01/14 01:33:42";18.3;52;393;35;1032.4
1515890325;"2018/01/14 01:38:45";18.2;52;403;35;1032.4
1515890629;"2018/01/14 01:43:49";18.2;52;398;35;1032.4
1515890932;"2018/01/14 01:48:52";18.1;52;400;35;1032.4
1515891236;"2018/01/14 01:53:56";18.1;52;397;35;1032.3
1515891540;"2018/01/14 01:59:00";18;52;387;35;1032.3
1515891842;"2018/01/14 02:04:02";18;52;387;35;1032.2
1515892146;"2018/01/14 02:09:06";18;52;395;35;1032.1
1515892450;"2018/01/14 02:14:10";18;52;387;35;1032.2
1515892753;"2018/01/14 02:19:13";17.9;52;381;35;1032.1
1515893057;"2018/01/14 02:24:17";17.9;52;404;35;1032.1
1515893360;"2018/01/14 02:29:20";17.9;52;392;35;1032
1515893664;"2018/01/14 02:34:24";17.9;52;390;35;1032
1515893967;"2018/01/14 02:39:27";17.8;52;402;35;1031.9
1515894272;"2018/01/14 02:44:32";17.8;52;392;35;1031.8
1515894576;"2018/01/14 02:49:36";17.8;53;401;35;1031.8
1515894878;"2018/01/14 02:54:38";17.8;52;401;35;1031.8
1515895182;"2018/01/14 02:59:42";17.7;53;405;35;1031.8
1515895486;"2018/01/14 03:04:46";17.7;52;397;35;1031.8
1515895790;"2018/01/14 03:09:50";17.7;53;400;35;1031.8
1515896092;"2018/01/14 03:14:52";17.7;53;397;35;1031.8
1515896396;"2018/01/14 03:19:56";17.7;53;395;35;1031.9
1515896700;"2018/01/14 03:25:00";17.7;53;404;35;1031.8
1515897003;"2018/01/14 03:30:03";17.7;53;398;35;1031.8
1515897307;"2018/01/14 03:35:07";17.7;53;397;35;1031.7
1515897610;"2018/01/14 03:40:10";17.6;53;392;35;1031.7
1515897913;"2018/01/14 03:45:13";17.7;53;394;35;1031.6
1515898216;"2018/01/14 03:50:16";17.6;53;404;35;1031.6
1515898521;"2018/01/14 03:55:21";17.7;53;393;35;1031.6
1515898824;"2018/01/14 04:00:24";17.6;53;397;35;1031.6
1515899125;"2018/01/14 04:05:25";17.6;53;404;35;1031.5
1515899428;"2018/01/14 04:10:28";17.6;53;399;35;1031.4
1515899731;"2018/01/14 04:15:31";17.6;53;400;35;1031.4
1515900034;"2018/01/14 04:20:34";17.6;53;409;35;1031.3
1515900339;"2018/01/14 04:25:39";17.6;53;387;35;1031.3
1515900643;"2018/01/14 04:30:43";17.6;53;395;35;1031.4
1515900946;"2018/01/14 04:35:46";17.6;53;399;35;1031.3
1515901249;"2018/01/14 04:40:49";17.6;53;400;35;1031.2
1515901554;"2018/01/14 04:45:54";17.6;53;394;35;1031.3
1515901858;"2018/01/14 04:50:58";17.6;53;403;35;1031.2
1515902158;"2018/01/14 04:55:58";17.6;53;408;35;1031.3
1515902462;"2018/01/14 05:01:02";17.6;53;402;35;1031.2
1515902764;"2018/01/14 05:06:04";17.6;52;391;35;1031.2
1515903068;"2018/01/14 05:11:08";17.5;53;399;35;1031.2
1515903373;"2018/01/14 05:16:13";17.5;52;400;35;1031.3
1515903676;"2018/01/14 05:21:16";17.5;52;400;35;1031.3
1515903980;"2018/01/14 05:26:20";17.5;52;407;35;1031.2
1515904283;"2018/01/14 05:31:23";17.5;52;402;35;1031.2
1515904586;"2018/01/14 05:36:26";17.5;53;405;35;1031.1
1515904889;"2018/01/14 05:41:29";17.5;52;386;35;1031.1
1515905191;"2018/01/14 05:46:31";17.5;52;404;35;1031
1515905494;"2018/01/14 05:51:34";17.5;52;395;35;1031
1515905798;"2018/01/14 05:56:38";17.5;52;403;35;1031
1515906101;"2018/01/14 06:01:41";17.4;52;398;35;1031
1515906402;"2018/01/14 06:06:42";17.4;52;402;35;1031
1515906705;"2018/01/14 06:11:45";17.4;53;404;35;1031.1
1515907008;"2018/01/14 06:16:48";17.4;52;396;35;1031.1
1515907311;"2018/01/14 06:21:51";17.4;53;393;35;1031.1
1515907614;"2018/01/14 06:26:54";17.4;53;393;35;1031.1
1515907918;"2018/01/14 06:31:58";17.4;53;393;35;1031.1
1515908221;"2018/01/14 06:37:01";17.4;52;397;35;1031
1515908525;"2018/01/14 06:42:05";17.4;52;400;35;1031
1515908829;"2018/01/14 06:47:09";17.4;52;398;35;1031
1515909133;"2018/01/14 06:52:13";17.3;53;405;35;1031
1515909437;"2018/01/14 06:57:17";17.4;52;407;35;1031
1515909740;"2018/01/14 07:02:20";17.3;52;405;35;1031.1
1515910043;"2018/01/14 07:07:23";17.3;52;400;35;1031
1515910346;"2018/01/14 07:12:26";17.3;52;401;35;1031
1515910650;"2018/01/14 07:17:30";17.3;52;405;35;1030.9
1515910953;"2018/01/14 07:22:33";17.3;52;398;35;1030.9
1515911257;"2018/01/14 07:27:37";17.3;52;399;35;1030.9
1515911560;"2018/01/14 07:32:40";17.3;52;414;35;1030.9
1515911864;"2018/01/14 07:37:44";17.2;52;408;35;1030.9
1515912167;"2018/01/14 07:42:47";17.2;52;401;35;1030.9
1515912471;"2018/01/14 07:47:51";17.2;52;404;35;1030.9
1515912774;"2018/01/14 07:52:54";17.2;52;407;35;1030.9
1515913077;"2018/01/14 07:57:57";17.2;52;403;35;1030.9
1515913381;"2018/01/14 08:03:01";17.2;52;394;35;1030.9
1515913685;"2018/01/14 08:08:05";17.2;52;397;35;1030.9
1515913988;"2018/01/14 08:13:08";17.2;53;402;35;1030.9
1515914292;"2018/01/14 08:18:12";17.2;52;404;35;1030.9
1515914595;"2018/01/14 08:23:15";17.2;52;408;35;1031
1515914898;"2018/01/14 08:28:18";17.2;52;408;35;1030.9
1515915202;"2018/01/14 08:33:22";17.2;52;414;37;1030.9
1515915505;"2018/01/14 08:38:25";17.2;52;409;43;1030.9
1515915809;"2018/01/14 08:43:29";17.2;52;412;43;1031
1515916112;"2018/01/14 08:48:32";17.2;53;414;41;1030.9
