StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;"Jan module";Outdoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity
1515339861;"2018/01/07 16:44:21";17.9;51
1515340167;"2018/01/07 16:49:27";17.9;51
1515340475;"2018/01/07 16:54:35";17.9;51
1515340732;"2018/01/07 16:58:52";18;51
1515341040;"2018/01/07 17:04:00";17.9;51
1515341348;"2018/01/07 17:09:08";17.9;51
1515341655;"2018/01/07 17:14:15";17.9;50
1515341963;"2018/01/07 17:19:23";17.8;50
1515342271;"2018/01/07 17:24:31";17.8;50
1515342577;"2018/01/07 17:29:37";17.8;50
1515342886;"2018/01/07 17:34:46";17.7;50
1515343142;"2018/01/07 17:39:02";17.7;50
1515343450;"2018/01/07 17:44:10";17.6;50
1515343757;"2018/01/07 17:49:17";17.6;50
1515344065;"2018/01/07 17:54:25";17.5;50
1515344373;"2018/01/07 17:59:33";17.5;50
1515344680;"2018/01/07 18:04:40";17.4;50
1515344988;"2018/01/07 18:09:48";17.3;50
1515345295;"2018/01/07 18:14:55";17.3;49
1515345552;"2018/01/07 18:19:12";17.3;50
1515345859;"2018/01/07 18:24:19";17.2;49
1515346167;"2018/01/07 18:29:27";17.2;50
1515346475;"2018/01/07 18:34:35";17.1;49
1515346782;"2018/01/07 18:39:42";17.1;49
1515347089;"2018/01/07 18:44:49";17;49
1515347396;"2018/01/07 18:49:56";17;49
1515347705;"2018/01/07 18:55:05";16.9;49
1515347961;"2018/01/07 18:59:21";16.9;49
1515348269;"2018/01/07 19:04:29";16.8;49
1515348577;"2018/01/07 19:09:37";16.8;49
1515348884;"2018/01/07 19:14:44";16.8;49
1515349192;"2018/01/07 19:19:52";16.7;49
1515349500;"2018/01/07 19:25:00";16.7;49
1515349807;"2018/01/07 19:30:07";16.6;49
1515350063;"2018/01/07 19:34:23";16.6;49
1515350371;"2018/01/07 19:39:31";16.6;49
1515350679;"2018/01/07 19:44:39";16.5;49
1515350986;"2018/01/07 19:49:46";16.5;49
1515351294;"2018/01/07 19:54:54";16.5;49
1515351602;"2018/01/07 20:00:02";16.4;49
1515351908;"2018/01/07 20:05:08";16.4;48
1515352216;"2018/01/07 20:10:16";16.4;48
