StationName;Long;Lat;ModuleName;ModuleType
Jan;12.500523;55.666613;Station;Indoor
Timestamp;"Timezone : Europe/Copenhagen";Temperature;Humidity;CO2;Noise;Pressure
1515423856;"2018/01/08 16:04:16";14.5;49;532;35;1032.2
1515424155;"2018/01/08 16:09:15";14.5;49;522;35;1032.2
1515424455;"2018/01/08 16:14:15";14.5;49;530;35;1032.3
1515424756;"2018/01/08 16:19:16";14.5;49;524;35;1032.2
1515425057;"2018/01/08 16:24:17";14.4;49;523;35;1032.3
1515425357;"2018/01/08 16:29:17";14.4;49;519;35;1032.2
1515425658;"2018/01/08 16:34:18";14.4;49;522;35;1032.2
1515425958;"2018/01/08 16:39:18";14.4;49;516;35;1032.3
1515426259;"2018/01/08 16:44:19";14.3;49;512;35;1032.3
1515426560;"2018/01/08 16:49:20";14.3;49;525;35;1032.3
1515426860;"2018/01/08 16:54:20";14.3;49;519;35;1032.3
1515427161;"2018/01/08 16:59:21";14.3;49;509;35;1032.3
1515427461;"2018/01/08 17:04:21";14.2;49;508;35;1032.5
1515427762;"2018/01/08 17:09:22";14.2;49;508;35;1032.5
1515428063;"2018/01/08 17:14:23";14.2;49;507;35;1032.5
1515428363;"2018/01/08 17:19:23";14.2;49;503;35;1032.6
1515428664;"2018/01/08 17:24:24";14.2;50;499;35;1032.5
1515428965;"2018/01/08 17:29:25";14.2;49;508;35;1032.5
1515429265;"2018/01/08 17:34:25";14.1;50;497;35;1032.5
1515429566;"2018/01/08 17:39:26";14.2;49;504;35;1032.5
1515429866;"2018/01/08 17:44:26";14.1;50;499;35;1032.5
1515430167;"2018/01/08 17:49:27";14.1;50;501;35;1032.4
1515430467;"2018/01/08 17:54:27";14.1;50;492;35;1032.4
1515430768;"2018/01/08 17:59:28";14.1;50;494;35;1032.4
1515431068;"2018/01/08 18:04:28";14;50;488;35;1032.5
1515431369;"2018/01/08 18:09:29";14;50;492;35;1032.5
1515431669;"2018/01/08 18:14:29";14;50;491;35;1032.5
1515431970;"2018/01/08 18:19:30";14;50;496;35;1032.6
1515432274;"2018/01/08 18:24:34";14;50;486;35;1032.7
1515432576;"2018/01/08 18:29:36";14;50;491;35;1032.7
1515432876;"2018/01/08 18:34:36";13.9;50;488;35;1032.7
1515433177;"2018/01/08 18:39:37";13.9;50;492;35;1032.7
