adaptorId; datestamp; temperature; humidity; temperature_corrected; humidity_corrected; temperature_real; humidity_real
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:00:37.000+02:00;30.2;21.0;20.7;62.6;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:05:39.000+02:00;30.3;21.0;20.7;62.6;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:10:40.000+02:00;30.4;21.0;20.7;62.6;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:15:40.000+02:00;30.2;21.0;20.7;62.6;14.3;52
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:20:40.000+02:00;30.2;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:25:42.000+02:00;30.4;21.0;20.7;62.6;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:30:42.000+02:00;30.2;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:35:43.000+02:00;30.3;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:40:43.000+02:00;30.2;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:45:44.000+02:00;30.3;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:50:48.000+02:00;30.2;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T18:55:49.000+02:00;30.2;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:00:49.000+02:00;30.1;21.0;20.7;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:05:43.000+02:00;29.9;22.0;20.6;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:06:02.000+02:00;29.9;22.0;20.6;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:11:02.000+02:00;30.2;22.0;20.6;62.5;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:16:03.000+02:00;30.1;22.0;20.6;62.6;14.3;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:21:04.000+02:00;30.2;22.0;20.6;62.5;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:26:04.000+02:00;30.2;22.0;20.6;62.5;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:31:04.000+02:00;30.2;22.0;20.6;62.5;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:36:07.000+02:00;30.0;22.0;20.6;62.6;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:41:08.000+02:00;30.2;22.0;20.6;62.5;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T19:51:08.000+02:00;30.2;22.0;20.6;62.5;14.2;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:01:14.000+02:00;30.1;22.0;20.6;62.6;14.1;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:11:16.000+02:00;30.1;22.0;20.6;62.6;14.1;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:21:16.000+02:00;30.0;21.0;20.7;62.7;14.1;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:31:18.000+02:00;30.1;21.0;20.7;62.6;14.1;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:36:20.000+02:00;30.1;21.0;20.7;62.6;14.1;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:41:19.000+02:00;30.1;21.0;20.7;62.6;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:46:20.000+02:00;30.1;21.0;20.7;62.6;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:51:22.000+02:00;30.1;22.0;20.6;62.6;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T20:56:22.000+02:00;30.0;22.0;20.6;62.6;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:01:24.000+02:00;30.0;21.0;20.7;62.7;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:06:24.000+02:00;29.9;21.0;20.7;62.7;14;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:11:24.000+02:00;29.9;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:16:26.000+02:00;29.8;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:21:26.000+02:00;30.0;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:26:27.000+02:00;29.9;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:31:27.000+02:00;29.9;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:36:28.000+02:00;29.8;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:41:28.000+02:00;29.9;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:46:29.000+02:00;29.8;21.0;20.7;62.7;13.9;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:51:29.000+02:00;29.9;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T21:56:30.000+02:00;29.9;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:01:30.000+02:00;29.9;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:06:29.000+02:00;29.7;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:11:30.000+02:00;30.0;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:16:30.000+02:00;29.8;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:21:31.000+02:00;29.9;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:26:31.000+02:00;29.9;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:31:31.000+02:00;29.8;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:36:32.000+02:00;29.8;21.0;20.7;62.7;13.8;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:41:33.000+02:00;29.8;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:46:33.000+02:00;29.9;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:51:34.000+02:00;29.8;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T22:56:35.000+02:00;29.9;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:06:36.000+02:00;29.7;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:16:36.000+02:00;29.7;21.0;20.7;62.7;13.7;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:26:37.000+02:00;29.7;21.0;20.7;62.7;13.6;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:36:38.000+02:00;29.8;21.0;20.8;62.9;13.6;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:46:39.000+02:00;29.7;21.0;20.7;62.9;13.6;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-11T23:56:42.000+02:00;29.7;21.0;20.7;62.8;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:06:43.000+02:00;29.6;21.0;20.7;62.8;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:11:43.000+02:00;29.6;21.0;20.7;62.7;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:16:46.000+02:00;29.6;21.0;20.7;62.7;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:21:46.000+02:00;29.6;21.0;20.7;62.7;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:26:47.000+02:00;29.6;21.0;20.6;62.7;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:31:47.000+02:00;29.6;21.0;20.8;63.0;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:36:48.000+02:00;29.8;21.0;20.8;62.9;13.5;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:41:48.000+02:00;29.4;21.0;20.7;62.9;13.4;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:46:49.000+02:00;29.6;21.0;20.7;62.9;13.4;53
05beac6c-1c2f-4802-94a9-30e6300c6e15;2018-01-12T00:51:49.000+02:00;29.6;21.0;20.7;62.9;13.4;53
